id,title,price,location,size,size_unit,bedrooms,bathrooms
3855350,اسكن بسابا باشا بالتقسيط علي 42شهر سعر المتر 17500ج,"2,625,000",شارع عبد السلام عارف,150,متر²,3,2
4101422,شقة للبيع في سابا باشا خطوات من ابو قير قريبه من السفارة الروسيه  TMZ6818,"2,900,000",سابا باشا,180,متر²,3,2
4102020,شقة للبيع 280 م سابا باشا (علي البحر مباشرة),"10,000,000",سابا باشا (علي البحر مباشرة),280,متر²,3,3
4096635,شقة للبيع 155م سابا باشا (شارع عبد المنصف غازي) فيو ( قصر المرغني),"2,850,000",سابا باشا شارع عبد المنصف غازي فيو قصر المرغني,155,متر²,3,2
4096586,شقة للبيع  190 م سابا باشا  (شارع عبد السلام عارف ) ترام رأسًا,"4,200,000",سابا باشا شارع عبد السلام عارف,190,متر²,3,2
4104627,شقه لقطه سابا باشا شارع ابوقير الرئيسي 350متر – رخصه,"4,000,000",شقه لقطه سابا باشا شارع ابوقير الرئيسي 350متر – رخصه,350,متر²,4,3
4082977,شقة للبيع 310 م سابا باشا (على البحر مباشره - السرايا رويال),"8,550,000",على البحر مباشره - السرايا رويال,310,متر²,3,3
4089867,شقق للبيع بسابا باشا الاسكندرية بجوار قصر المرغني,"2,300,000",سابا باشا,145,متر²,3,2
4015227,شقة للبيع 150 م سابا باشا  (شارع الصبونجي  ),"2,700,000",سابا باشا  (شارع الصبونجي  ),150,متر²,2,3
4076546,شقة للبيع 140 م ساباباشا - خطوات من الترام و شارع ابوقير,"2,300,000",شقة للبيع 140 م ساباباشا - خطوات من الترام و شارع ابوقير,140,متر²,3,2
4044749,سابا باشا شقة للبيع,"4,600,000",سابا باشا بالقرب من البحر,255,متر²,3,2
4015237,شقة للبيع 150 م سابا باشا  (شارع الصبونجي  ),"2,700,000",سابا باشا  (شارع الصبونجي  ),150,متر²,2,3
3985214,شقة للبيع 315 م سابا باشا (علي البحر مباشرة - فيو على نادى المهندسين والأطباء  ),"8,500,000",سابا باشا (علي البحر مباشرة - فيو على نادى المهندسين والأطباء  ),315,متر²,3,3
4020647,سابا باشا شارع خليل مطران بين الترام وابوقير,"3,600,000",ساباباشا,195,متر²,2,2
3988216,حتى 30-5-2023 شقتك205م بمقدم 1558000 وتقسيط الباقى على 42 شهر,"3,895,000",شارع عبد السلام عارف سابا باشا ع الترام,205,متر²,3,2
3978288,حتى 25-5-2023 شقتك بمقدم 35% و تقسيط  الباقى  على 48 شهر  بسابا باشا,"4,950,000",شارع عبد السلام عارف سابا باشا ع الترام,225,متر²,4,3
3988299,حتى 30-5-2023 شقتك220م بمقدم 1892000 وتقسيط الباقى على 36 شهر,"5,060,000",شارع عبد السلام عارف سابا باشا ع الترام سابا باشا جيت,220,متر²,4,3
4042004,شقه للبيع – ســــابـا بـاشـــا –علي شارع ابوقير الرئيسي – 350 مـتـر,"4,250,000",شقه للبيع – ســــابـا بـاشـــا –علي شارع ابوقير الرئيسي – 350 مـتـر,350,متر²,4,3
