id,title,price,location,size,size_unit,bedrooms,bathrooms
4100957,للبيع شقه 184م متشطبه في الاسكندريه تقسيط 7 سنوات,"4,577,000",صواري الأسكندريه,184,متر²,3,3
4108873,شقه 133 م للبيع فى صوارى,"3,775,000",صوارى,133,متر²,2,2
4086303,شقة للبيع 145م حي صوارى (كومباوند صوارى),"4,277,000",حي صوارى (كومباوند صوارى),145,متر²,3,2
4054277,كومبوند ديفا بداخل صوارى,"4,665,500",منطقه صوارى داخل الاسكندريه,155,متر²,3,3
4068660,شقق للبيع بالاسكندرية الجديدة كمباوند صواري,"4,200,000",صواري الاسكندرية الجديدة,145,متر²,3,2
4068672,شقق للبيع بكمبوند صواري الاسكندرية الجديدة ١٧٧ م,"4,700,000",كمباوند صواري الاسكندرية الجديدة,177,متر²,3,3
4055219,متاح شقه ريسيل بصواري السعودية المصرية بقسط ربع سنوي لمدة 7 سنوات,"4,968,000",صواري,177,متر²,3,3
4051540,شقة للبيع 133 م صواري (المصرية السعودية),"3,046,548",Suez Canal Rd، Moharram Bey,133,متر²,2,1
3966868,امتلك وحدتك السكنيه داخل كمبوند صواري بالاسكندريه 173م 4 غرف بمقدم 10%,"6,414,089",صواري اسكندريه,173,متر²,4,2
3966850,شقه للبيع في كميوند صواري 151م بتشطيب سوبر لوكس و لفترة سداد تصل الي 5 سنوات,"5,382,244",صواري اسكندريه,151,متر²,3,2
3956198,امتلك وحدتك السكنيه داخل كمبوند صواري بفترة سداد تصل الي 7 سنوات 177م,"3,944,000",صواري اسكندريه,177,متر²,3,2
3923740,شقه مميزه في كمبوند صواري اسكندريه 208م مقدم20%,"5,782,400",صواري الداون تاون,208,متر²,3,3
4037414,متاح شقه ريسيل بصواري السعودية المصرية,"4,968,000",بصواري,177,متر²,3,3
4037401,متاح شقه ريسيل بصواري السعودية المصرية,"4,968,000",بصواري,177,متر²,3,3
3937637,استلم فورا شقه 157م في صواري الإسكندرية تقسيط(متشطبه ) خلف كارفور,"3,532,000",الاسكندريه,157,متر²,3,2
3914496,شقه للبيع 177 م صوارى,"4,300,000",صوارى,177,متر²,3,3
3911328,شقه للبيع 184 م بصوارى,"4,950,000",صوارى,184,متر²,3,3
3911184,شقه 177 م فى صوارى (16),"4,350,000",صوارى,177,متر²,3,3
3905936,امتلك وحدتك السكنيه في كمبوند صواري بالاسكندريه بفترة سداد تصل الي 7 سنوات,"3,378,000",صواري الاسكندريه,152,متر²,3,2
3902348,امتلك الان وحدتك السكنيه في كمبوند صواري بمقدم 10%,"3,378,000",صواري الداون تاون,152,متر²,3,2
3839640,عاين شقتك 197م في صواري الإسكندرية بالتقسيط ((متشطبه)),"4,773,000",الاسكندريه,197,متر²,3,3
4068172,شقة للبيع 196 م صواري,"4,900,000",صواري الاسكنندرية,196,متر²,3,3
3959194,شقتك السكنيه الان في كمبوند صواري اسكندريه مقدم 20% اقساط تصل الي 5 سنوات 119م,"3,213,000",صواري اسكندريه,119,متر²,2,1
3959042,للبيع في كمبوند صواري بالاسكندريه شقه 126م بمقدم 25%,"3,402,000",صواري- اسكندريه,126,متر²,3,2
3977487,شقة للبيع 166م سموحة (صوارى),"4,282,800",سموحة (صوارى),166,متر²,3,2
3959097,امتلك وحدتك السكنيه داخل كمبوند صواري بالداون تاون اسكندريه 148م 3 غرف بمقدم 20%,"4,070,000",كمبوند صواري,148,متر²,3,2
3959072,اشتري وحدتك السكنيه في كمبوند صواري 171م فترة سداد تصل الي 5 سنوات,"4,959,000",صواري- الداون تاون,171,متر²,4,2
3937645,للبيع شقه 195م في الاسكندريه -صوارى- متشطبه -قسط,"4,365,000",صواري,195,متر²,3,3
3937466,للبيع في كمبوند صواري بالاسكندريه شقه 185م اقساط تصل الي 4 سنوات,"5,143,000",صواري الداون تاون,185,متر²,3,2
3937484,شقة للبيع في الاسكندرية الجديده مشروع صواري 198م,"4,851,000",صواري,198,متر²,3,3
3956161,شقه للبيع في كمبوند صواري بالاسكندريه 152م مقدم 10%,"3,444,000",صواري الداون تاون,152,متر²,3,2
3825598,وحدات مميزة للبيع 145م صواري - تقسيط,"3,697,500",صواري,145,متر²,3,2
3942698,للبيع شقه 184م في - صوارى - الاسكندريه - متشطبه - بالتقسيط,"4,140,000",الاسكندريه صواري,184,متر²,3,3
3937310,شقة للبيع في لاسكندرية - حي صواري 119م,"3,332,000",صواري,119,متر²,2,1
3899449,إمتلك بالتقسيط بمقدم فقط 400 ألف وأقساط علي7سنوات بدون فوائد وحدة سكنية في صواري,"4,425,000",صواري سموحة,160,متر²,3,3
3905926,امتلك شقتك 177 م  فى صواري بالاسكندرية و قسط على 5 سنين,"4,400,000",صواري,177,متر²,3,3
3864128,للبيع في كمبوند صواري الاسكندريه 177م بمقدم 10%,"3,815,000",صوارى,177,متر²,3,2
4010354,شقه 177م تشطيب كامل في كمبوند صواري بالاسكندريه فترة سداد تصل الي 7 سنوات,"3,944,000",كمبوند صواري,177,متر²,3,3
